,area,area_name,country_name,latitude,longitude,safety_change,upper
15,CF,Cardiff,,51.5343,-3.29374,1,CARDIFF
17,CM,Chelmsford,,51.7583,0.403764,1,CHELMSFORD
19,CR,Croydon,,51.356,-0.103301,2,CROYDON
21,CV,Coventry,,52.3671,-1.50128,1,COVENTRY
32,E,East London,,51.5434,-0.0158165,1,EAST LONDON
33,EC,Central London,,51.5188,-0.0967554,1,CENTRAL LONDON
42,HA,Harrow,,51.5853,-0.336045,1,HARROW
51,IP,Ipswich,,52.195,1.0831,1,IPSWICH
54,KT,Kingston upon Thames,,51.36,-0.34317800000000004,1,KINGSTON UPON THAMES
57,L,Liverpool,,53.4158,-2.96295,1,LIVERPOOL
69,N,North London,,51.5853,-0.114104,3,NORTH LONDON
71,NG,Nottingham,,53.0055,-1.07239,1,NOTTINGHAM
77,OX,Oxford,,51.7957,-1.2906,1,OXFORD
87,S,Sheffield,,53.394,-1.41222,1,SHEFFIELD
93,SM,Sutton,,51.3628,-0.184529,1,SUTTON
111,W,West London,,51.5115,-0.19277,1,WEST LONDON
115,WF,Wakefield,,53.6855,-1.49651,1,WAKEFIELD
71,FRANCE,France,FRANCE,46.227638,2.213749,8,
106,ITALY,Italy,ITALY,41.87194,12.56738,1,
64,SPAIN,Spain,SPAIN,40.463667,-3.7492199999999998,1,
